                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41996,                0.66304,                 1.9531,                 1.0322,                0.01099,                0.51481,                0.03319,                0.03119,                0.01099,                0.51481,                0.03319,                0.03147,                0.40086,                 0.4751,                 5.7657,                  1.075,             0.00010762,             0.00010762,             0.00010762
                      2,                0.39585,                0.50218,                 1.0897,                0.99958,                 0.0053,                0.18704,                0.01478,                0.01109,                0.00599,                0.22685,                0.01695,                0.01282,                0.45352,                0.42728,                 6.7508,                 1.1303,             0.00021262,             0.00021262,             0.00021262
                      3,                 0.3902,                0.48258,                0.92066,                0.99575,                0.00372,                0.08148,                0.00489,                0.00425,                0.00309,                0.05741,                0.00439,                0.00423,                0.42668,                0.35062,                 7.0289,                 1.0675,             0.00031496,             0.00031496,             0.00031496
                      4,                0.37016,                0.46851,                0.77036,                0.97876,                0.00378,                0.02037,                0.00273,                0.00246,                0.00378,                0.02037,                0.00273,                 0.0026,                0.43958,                0.37654,                 7.2018,                 1.0735,             0.00031101,             0.00031101,             0.00031101
                      5,                0.35655,                0.46745,                0.68168,                0.97076,                 0.0079,                0.02778,                0.00569,                0.00569,                 0.0079,                0.02778,                0.00569,                0.00569,                0.43417,                0.36837,                 7.1851,                   1.03,             0.00031101,             0.00031101,             0.00031101
                      6,                0.34549,                0.44709,                0.62419,                 0.9659,                0.00079,                0.00926,                 0.0005,                0.00048,                0.00079,                0.00926,                 0.0005,                0.00045,                0.49987,                0.35007,                 7.5366,                 1.0729,             0.00030701,             0.00030701,             0.00030701
                      7,                0.33207,                0.43591,                0.55089,                 0.9589,                0.00126,                0.04815,                0.00113,                0.00112,                0.00126,                0.04815,                0.00113,                0.00111,                0.45949,                0.31358,                 7.4531,                 1.0158,             0.00030301,             0.00030301,             0.00030301
                      8,                0.32216,                0.40885,                0.50862,                 0.9532,                0.00126,                0.04815,                0.00113,                0.00112,                0.00126,                0.04815,                0.00113,                0.00111,                0.37941,                0.38342,                 8.0615,                0.97833,             0.00029902,             0.00029902,             0.00029902
                      9,                0.31875,                0.41108,                0.48352,                0.94958,                0.00316,                0.01111,                0.00185,                0.00185,                0.00316,                0.01111,                0.00185,                0.00185,                0.42025,                 0.3202,                   7.92,                0.98593,             0.00029502,             0.00029502,             0.00029502
                     10,                0.31326,                0.40953,                0.44906,                0.94352,                0.00507,                0.03981,                0.00716,                0.00716,                0.00507,                0.03981,                0.00716,                 0.0069,                 0.4314,                0.32022,                 8.3895,                 0.9841,             0.00029102,             0.00029102,             0.00029102
                     11,                0.30064,                 0.3987,                0.42391,                0.94232,                0.00284,                0.02593,                0.00449,                0.00449,                0.00284,                0.02593,                0.00449,                0.00448,                0.39236,                0.31181,                 8.1031,                 0.9666,             0.00028703,             0.00028703,             0.00028703
                     12,                0.30175,                0.38528,                0.39528,                0.94222,                0.00769,                 0.0213,                0.00702,                0.00687,                0.00769,                 0.0213,                0.00702,                0.00702,                0.50817,                0.32539,                 8.5324,                 1.0178,             0.00028303,             0.00028303,             0.00028303
                     13,                0.29562,                0.38504,                0.39526,                0.93522,                0.00014,                0.00093,                  7e-05,                  7e-05,                0.00014,                0.00093,                  7e-05,                  7e-05,                0.48413,                0.30775,                 8.6079,                 1.0046,             0.00027903,             0.00027903,             0.00027903
                     14,                0.29256,                0.38281,                0.36757,                0.93609,                0.00014,                0.00093,                  7e-05,                  7e-05,                0.00014,                0.00093,                  7e-05,                  7e-05,                 0.3923,                0.29483,                 8.5681,                0.96286,             0.00027503,             0.00027503,             0.00027503
                     15,                0.28931,                0.37484,                0.35879,                0.93593,                0.00436,                0.02407,                0.00395,                0.00391,                0.00436,                0.02407,                0.00395,                0.00391,                0.44629,                0.29291,                 8.4579,                0.99262,             0.00027104,             0.00027104,             0.00027104
                     16,                0.28646,                0.37373,                0.34644,                 0.9327,                0.00058,                0.00185,                 0.0003,                 0.0003,                0.00058,                0.00185,                 0.0003,                 0.0003,                  0.466,                0.28453,                 8.8188,                0.98553,             0.00026704,             0.00026704,             0.00026704
                     17,                0.28264,                 0.3659,                0.32878,                0.93026,                0.00254,                0.02037,                0.00161,                 0.0016,                0.00254,                0.02037,                0.00161,                 0.0016,                0.43979,                0.30047,                 8.7996,                0.98735,             0.00026304,             0.00026304,             0.00026304
                     18,                0.27735,                0.36214,                0.33114,                0.92772,                0.00254,                0.02037,                0.00161,                 0.0016,                0.00254,                0.02037,                0.00161,                 0.0016,                0.47188,                0.30653,                 9.1745,                0.97442,             0.00025905,             0.00025905,             0.00025905
                     19,                0.27981,                0.37455,                0.32171,                0.92843,                0.00254,                0.02037,                0.00161,                 0.0016,                0.00254,                0.02037,                0.00161,                 0.0016,                0.52375,                0.32253,                 9.2262,                 1.0212,             0.00025505,             0.00025505,             0.00025505
                     20,                0.27395,                0.36399,                0.30517,                0.92266,                0.00315,                 0.0037,                0.00174,                0.00174,                0.00315,                 0.0037,                0.00174,                0.00174,                0.54578,                0.29983,                 9.4982,                 1.0284,             0.00025105,             0.00025105,             0.00025105
                     21,                0.27224,                0.35263,                0.30115,                0.92416,                0.00731,                0.01944,                0.00514,                0.00514,                0.00731,                0.01944,                0.00514,                0.00508,                0.62189,                0.28648,                 8.9392,                  1.079,             0.00024705,             0.00024705,             0.00024705
                     22,                0.27045,                0.35349,                0.28799,                0.92081,                0.00752,                0.01204,                0.00502,                0.00498,                0.00752,                0.01204,                0.00502,                0.00502,                0.49319,                0.37073,                 9.2044,                   1.02,             0.00024306,             0.00024306,             0.00024306
                     23,                0.27104,                0.35901,                0.29468,                0.92364,                0.00673,                0.01852,                0.00641,                0.00641,                0.00673,                0.01852,                0.00641,                0.00632,                0.45966,                0.29705,                 9.1425,                0.97608,             0.00023906,             0.00023906,             0.00023906
                     24,                0.26713,                 0.3526,                0.28548,                0.91942,                0.01952,                0.06759,                0.01718,                0.01715,                0.01952,                0.06759,                0.01718,                0.01715,                0.43642,                0.32301,                 9.7446,                0.96073,             0.00023506,             0.00023506,             0.00023506
                     25,                0.26576,                 0.3524,                0.27742,                0.92089,                  0.011,                0.02685,                0.00926,                0.00921,                  0.011,                0.02685,                0.00926,                0.00907,                0.45227,                0.30474,                 9.2034,                0.97756,             0.00023107,             0.00023107,             0.00023107
                     26,                0.26471,                 0.3507,                 0.2727,                0.92304,                  0.011,                0.02685,                0.00926,                0.00921,                  0.011,                0.02685,                0.00926,                0.00907,                0.48504,                0.28627,                 9.8089,                 1.0005,             0.00022707,             0.00022707,             0.00022707
                     27,                0.26551,                0.35181,                0.26747,                0.91859,                0.00201,                0.01019,                0.00139,                0.00139,                0.00201,                0.01019,                0.00139,                0.00139,                0.67023,                0.30672,                 10.051,                 1.0812,             0.00022307,             0.00022307,             0.00022307
                     28,                0.26452,                0.34413,                0.26102,                0.91946,                0.00076,                 0.0037,                0.00042,                0.00042,                0.00076,                 0.0037,                0.00042,                0.00042,                0.47764,                0.35406,                 9.4688,                0.99007,             0.00021907,             0.00021907,             0.00021907
                     29,                0.25984,                0.34364,                0.25526,                 0.9149,                0.00011,                0.00093,                  6e-05,                  6e-05,                0.00011,                0.00093,                  6e-05,                  6e-05,                 0.4674,                0.27971,                 9.8618,                0.98779,             0.00021508,             0.00021508,             0.00021508
                     30,                0.26044,                0.34072,                0.25973,                0.91794,                0.00373,                0.01204,                0.00247,                0.00247,                0.00373,                0.01204,                0.00247,                0.00247,                0.47215,                 0.2666,                 9.7823,                0.97128,             0.00021108,             0.00021108,             0.00021108
                     31,                0.25645,                0.33586,                0.24108,                 0.9174,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.43207,                0.27006,                 9.8337,                0.93258,             0.00020708,             0.00020708,             0.00020708
                     32,                0.25024,                0.33713,                0.24048,                0.91183,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.57109,                0.28029,                  10.21,                  1.017,             0.00020309,             0.00020309,             0.00020309
                     33,                0.25547,                0.34917,                0.23743,                0.91408,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.53904,                0.27601,                  9.756,                  1.005,             0.00019909,             0.00019909,             0.00019909
                     34,                0.25218,                0.33505,                0.23838,                0.91453,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.51761,                0.28693,                 9.6805,                 1.0306,             0.00019509,             0.00019509,             0.00019509
                     35,                0.24638,                0.33488,                0.23449,                0.91179,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.65026,                0.27884,                 10.126,                 1.0517,             0.00019109,             0.00019109,             0.00019109
                     36,                0.24918,                0.33374,                0.22835,                0.91261,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.82813,                0.34611,                 10.393,                 1.1595,              0.0001871,              0.0001871,              0.0001871
                     37,                 0.2517,                0.33305,                0.22815,                0.91199,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.00017,                0.00093,                  9e-05,                  9e-05,                0.44716,                0.26823,                 10.044,                 0.9398,              0.0001831,              0.0001831,              0.0001831
                     38,                0.24684,                0.32962,                 0.2236,                0.91229,                0.00454,                0.00556,                0.00254,                0.00249,                0.00454,                0.00556,                0.00254,                0.00254,                0.39943,                0.27837,                 10.025,                0.93839,              0.0001791,              0.0001791,              0.0001791
                     39,                0.24606,                0.33362,                0.22297,                0.91102,                0.02204,                   0.05,                0.02046,                0.02039,                0.02204,                   0.05,                0.02046,                0.02039,                0.53373,                 0.2969,                 10.624,                0.98717,             0.00017511,             0.00017511,             0.00017511
                     40,                0.24466,                0.32632,                0.22035,                0.91028,                0.00196,                0.01111,                0.00129,                0.00129,                0.00196,                0.01111,                0.00129,                0.00128,                0.40475,                0.28746,                 10.037,                0.93101,             0.00017111,             0.00017111,             0.00017111
                     41,                0.24309,                0.32855,                0.22088,                0.90766,                0.00055,                0.00093,                0.00029,                0.00029,                0.00055,                0.00093,                0.00029,                0.00029,                0.59038,                0.28264,                 10.643,                  1.006,             0.00016711,             0.00016711,             0.00016711
                     42,                0.23859,                0.33145,                0.21065,                 0.9067,                0.00055,                0.00093,                0.00029,                0.00029,                0.00055,                0.00093,                0.00029,                0.00029,                0.49968,                0.29028,                 10.527,                0.96767,             0.00016311,             0.00016311,             0.00016311
                     43,                0.24141,                0.33007,                0.20858,                0.91053,                0.00227,                0.00278,                0.00122,                0.00122,                0.00227,                0.00278,                0.00122,                0.00122,                0.58259,                0.29297,                 10.805,                 1.0163,             0.00015912,             0.00015912,             0.00015912
                     44,                0.23762,                0.32501,                0.20513,                 0.9057,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.54564,                 0.2785,                 10.827,                0.99211,             0.00015512,             0.00015512,             0.00015512
                     45,                0.24395,                0.32561,                0.20565,                0.91335,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.57586,                0.33623,                  11.06,                  1.007,             0.00015112,             0.00015112,             0.00015112
                     46,                0.23456,                0.31875,                0.19965,                0.90597,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.52556,                0.28204,                 10.641,                0.98655,             0.00014713,             0.00014713,             0.00014713
                     47,                0.23713,                0.32358,                0.20512,                0.90504,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.53716,                 0.2763,                 10.708,                 1.0193,             0.00014313,             0.00014313,             0.00014313
                     48,                0.23366,                0.31522,                0.19331,                0.90621,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.49136,                0.31068,                 11.103,                0.97167,             0.00013913,             0.00013913,             0.00013913
                     49,                 0.2345,                0.31809,                0.19275,                0.90726,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.64475,                0.29171,                  10.82,                 1.0592,             0.00013514,             0.00013514,             0.00013514
                     50,                 0.2307,                0.31698,                0.18525,                0.90621,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.52505,                0.29284,                 10.738,                0.97983,             0.00013114,             0.00013114,             0.00013114
                     51,                 0.2285,                0.31868,                0.18946,                 0.9029,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.00071,                0.00463,                 0.0004,                 0.0004,                0.48775,                0.26334,                 10.207,                0.97847,             0.00012714,             0.00012714,             0.00012714
